,05/03,05/04,,05/10,05/10,05/11,05/16,05/16,06/18,05/19,05/23,05/23,05/24,05/30,05/31,06/01,06/06,06/07,6/14,06/14,06/20
1,0,0,,,,29,12,10,8,6,28,28,28,15,13,13,3,,22,,283
2,20,20,,10,10,9,,24,20,12,17,13,10,11,3,3,28,26,11,,300
3,15,15,,9,9,8,5,4,,,25,24,24,3,10,9,5,,19,,191
4,28,28,,22,22,22,16,16,15,15,12,9,9,28,26,26,16,18,10,,237
5,6,6,,,,29,27,26,25,25,29,27,28,24,22,22,19,18,9,,279
6,18,18,,3,2,2,27,22,22,19,13,9,9,,27,27,19,19,11,,328
7,,29,,27,27,27,25,25,25,23,23,20,18,15,14,14,13,14,6,,209
8,10,8,,13,11,6,26,26,23,19,19,17,16,5,12,12,10,12,3,,243
9,6,6,,1,1,1,26,25,25,25,24,23,23,,18,18,7,8,2,,202
10,5,5,,4,4,4,0,0,,29,29,27,27,,21,21,12,14,6,,97
11,17,17,,10,10,10,9,9,9,5,0,,27,,13,29,12,31,19,,43
12,,27,,1,1,,14,1,,,5,,28,,0,0,28,4,14,,88 cartons
13,12,5,,21,21,28,8,5,27,25,7,2,2,,11,27,27,,,,
14,,29,,19,18,15,8,6,29,,18,16,16,,4,2,10,17,4,,
15,16,0,,13,4,1,8,2,,29,21,12,6,,17,16,21,,,,
16,14,18,,,,28,12,0,,29,10,3,2,,,29,54,16,16,,
17,14,14,,59,59,59,26,23,14,10,56,50,43,,7,4,10,48,24,,
18,5,,,7,5,28,3,,28,21,27,26,26,,24,23,9,8,1,,
19,8,8,,,,29,22,20,14,14,8,8,8,,17,15,10,13,2,,
20,7,6,,0,0,0,55,50,50,50,45,45,44,,6,4,47,5,28,,
21,27,22,,,,59,36,22,17,17,50,44,42,,15,12,28,39,11,,
22,40,39,,11,8,5,6,,23,22,8,4,,,30,29,17,28,38,,
23,16,16,,46,46,31,49,43,32,27,5,1,,,35,34,55,7,6,,
24,,,,47,47,46,32,27,27,20,19,17,15,,57,56,36,50,43,,
25,,,,,,48,0,47,45,37,58,57,57,,40,33,0,6,37,,
26,17,31,,7,1,1,40,39,37,36,26,22,21,,2,2,7,55,47,,
27,27,15,,,,57,45,39,31,27,12,11,9,,24,22,14,59,39,,
28,31,31,,27,27,27,24,23,23,23,22,20,20,,16,16,84,11,62,,
29,,56,,41,41,40,20,16,13,11,,59,57,,90,90,63,,8,,
30,46,46,,32,32,32,22,18,18,15,,,97,,75,75,69,,50,,
31,42,34,,1,1,148,45,45,44,149,120,120,118,,101,101,116,,31,,
32,80,80,,72,71,148,70,68,67,57,20,19,19,,130,129,99,,68,,
33,,,,121,117,116,34,33,33,23,143,142,138,,122,122,104,,76,,
34,82,82,,64,64,63,33,33,33,21,133,133,125,,110,110,107,,78,,
35,3,75,,58,58,48,133,178,128,117,148,146,146,,110,107,280,,55,,
36,69,66,,24,21,20,,273,264,238,140,114,116,,72,71,,,169,,